Variable,raw_values
Unique cookies to view course overview page per day,40000
"Unique cookies to click ""Start free trial"" per day",3200
Enrollments per day,660
"Click-through-probability on ""Start free trial""",0.08
"Probability of enrolling, given click",0.21
"Probability of payment, given enroll",0.53
"Probability of payment, given click",0.11
